date,time,lat,long,country,city,area,direction,dist,depth,xm,md,richter,mw,ms,mb
2014.01.10,12:20:46 AM,37.31,36.2,turkey,osmaniye,kizyusuflu_kadirli,south_west,2.7,5.0,4.4,0.0,4.0,4.4,0.0,0.0
2017.04.08,12:30:58 AM,38.72,43.46,turkey,van,yemlice,south_east,2.7,1.6,4.3,0.0,4.1,4.3,0.0,0.0
2017.05.26,12:27:24 AM,36.88,29.03,turkey,mugla,tasbasi_dalaman,south_east,2.7,1.3,3.7,0.0,3.7,0.0,0.0,0.0
1959.04.02,12:34:29 AM,40.5,29.41,turkey,bursa,uregil_orhangazi,south,2.7,20.0,4.8,4.7,4.6,4.8,4.6,4.7
2015.12.02,12:52:44 AM,39.15,28.15,turkey,balikesir,sinandede_sindirgi,south,2.7,15.9,3.9,0.0,3.9,0.0,0.0,0.0
2016.12.13,12:32:00 AM,38.46,43.84,turkey,van,umut_gurpinar,south,2.7,5.0,3.9,0.0,3.6,3.9,0.0,0.0
1919.01.08,12:12:53 AM,40.9,42.2,turkey,erzurum,ekinlik_olur,north_west,2.7,40.0,5.4,5.1,5.1,5.4,5.2,5.1
1936.02.02,12:08:26 AM,37.69,38.82,turkey,sanliurfa,akcaoren_hilvan,north_west,2.7,160.0,5.3,5.0,4.9,5.3,5.0,5.0
1949.08.17,12:44:20 AM,39.57,40.62,turkey,erzincan,yaylim_tercan,north_west,2.7,40.0,6.7,6.3,6.3,6.5,6.7,6.2
1950.05.03,12:13:48 AM,38.67,27.06,turkey,izmir,yanikkoy_menemen,north_west,2.7,40.0,5.2,4.9,4.9,5.2,4.9,4.9
1953.03.24,12:17:36 AM,37.02,37.0,turkey,gaziantep,akbayir_sahinbey,north_west,2.7,10.0,5.3,5.0,4.9,5.3,5.0,5.0
2014.01.13,12:51:27 AM,39.78,26.13,turkey,canakkale,dalyan_ezine,north_west,2.7,7.8,4.2,0.0,4.2,4.0,0.0,0.0
